ID,Category,Latitude,Longitude
92,C,39.02763431,-82.44961249
93,B,40.41810042,-74.70145758
94,D,38.76130365,-121.3109189
95,C,41.9042754,-79.7887156
96,C,34.58763648,-116.2820763
97,C,41.12410001,-79.22034899
98,B,40.39392974,-74.75312436
99,C,42.69510584,-123.6124541
100,A,39.53142597,-80.09696453
101,A,34.29040693,-117.2195731
102,C,41.28773775,-73.39066125
103,C,48.24120113,-116.7146175
104,C,34.65578385,-117.6332691
105,D,43.96100571,-84.36905629
106,D,45.59008962,-122.1109734
107,A,42.82276239,-83.49845791
108,D,43.71815049,-76.42298101
109,C,41.22331461,-73.24417909
110,C,41.52754764,-73.18567916
111,A,39.44588795,-76.47027814
112,B,34.21438706,-78.56968744
113,B,43.42688449,-78.28439561
114,C,42.75365887,-79.41533572
115,C,40.54610667,-74.56204933
116,A,40.53363308,-76.69454226
117,A,40.93747975,-73.72293525
118,B,34.12904114,-117.8067329
119,A,41.62276264,-71.22684136
120,D,41.37689045,-73.69288755
121,A,42.65751199,-71.65218691
122,C,42.12485435,-70.80427865
123,D,40.85761885,-80.29123815
124,A,40.84309515,-73.80534585
125,A,41.61842997,-71.57941253
126,A,46.27178803,-123.640245
127,A,47.93277905,-122.0480909
128,C,38.59888277,-78.47058333
129,D,41.67127151,-73.01635749
130,C,37.88050359,-76.79157611
131,D,43.83966636,-78.01420664
132,D,42.41717834,-80.58381966
133,C,41.61812885,-75.21454526
134,B,33.96312266,-117.2685353
135,A,41.82712827,-81.31664263
136,D,43.14607057,-70.00656253
137,B,43.23615088,-70.94838012
138,C,42.19495065,-83.27372325
139,B,45.84909765,-122.2198314
140,A,39.17449882,-76.41067998
141,D,40.61712479,-74.64648221
142,D,44.00178771,-75.52943615
143,D,35.45541294,-116.3731301
144,A,42.91228305,-82.74803135
145,A,44.21257427,-71.95366993
146,D,43.41794876,-71.14734724
147,A,40.20010029,-75.13299571
148,A,39.99440052,-83.89430568
149,C,34.50068094,-117.3221141
150,D,39.14027167,-76.70494833
151,B,40.41129337,-74.77033263
152,B,43.54716488,-78.27033802
153,D,38.48048193,-121.1752836
154,C,42.55189368,-70.76413332
155,C,40.00209314,-74.44273086
156,C,40.15868012,-79.44577688
157,B,48.30535518,-121.8493728
158,D,42.22524075,-79.51574745
159,C,34.7343171,-118.6683982
160,A,37.59788986,-119.8682197
161,D,41.85593255,-80.14681445
162,A,35.8572024,-119.0980399
163,A,43.70618896,-70.41397004
164,A,39.04195497,-121.025469
165,A,37.73615111,-121.7254229
166,A,41.76602285,-83.40303515
167,B,40.91087218,-79.29615082
168,C,41.00090718,-79.33463282
169,C,42.25554736,-81.34484604
170,A,41.16800794,-72.79522206
171,B,48.72855366,-122.2212263
172,D,41.7762296,-73.0128734
173,C,42.97476563,-78.78240597
174,C,42.36129621,-79.42906579
175,A,40.52634118,-79.98557176
176,A,43.78942701,-70.10459309
177,C,39.01769751,-81.65224349
178,D,41.73824608,-73.05776022
179,A,40.04730648,-75.09421752
180,A,41.39701011,-80.33102739
181,B,43.06531894,-84.22107106
182,C,35.50764102,-85.93208098
183,B,40.04671862,-75.14410638
184,B,35.00017024,-119.7280497
185,C,40.72089196,-74.35350554
186,A,40.68957983,-79.39731476
187,A,40.26857714,-74.89578286
188,D,42.32753471,-81.28752829
189,B,39.40053341,-75.09163609
190,D,48.60839865,-121.4808828
191,A,40.84163368,-73.86363932
192,C,44.75360117,-69.80976943
193,A,44.41764719,-70.79100881
194,C,43.85134834,-70.46393046
195,D,42.48697503,-79.42014297
196,A,42.34234549,-83.40244511
197,A,40.09367731,-74.83215863
198,C,34.12983607,-114.0653849
199,D,43.77529623,-70.66990077
200,B,43.20515429,-82.32656431
201,C,40.95576443,-76.12741747
202,D,40.58694668,-74.15600732
203,A,48.78749886,-122.3339381
204,C,35.19728852,-118.9015987
205,B,41.1575111,-121.873833
206,B,45.93049819,-122.5312268
207,A,34.44619526,-117.5525247
208,D,40.87908995,-74.34879805
209,D,42.46259419,-72.10104081
210,C,40.73730232,-78.95118696
211,A,38.00430317,-84.48108183
212,A,43.1209875,-78.6622448
213,C,34.496193,-116.7911648
214,A,40.96498563,-73.56607507
215,D,42.74630495,-69.74086505
216,A,34.48268787,-117.9758869
217,D,33.25717704,-79.82968366
218,A,41.47243595,-72.18725805
219,D,41.28109628,-78.73042792
220,D,40.30869645,-73.48002155
221,C,43.59515309,-70.89276591
222,C,35.52153592,-76.27359718
223,A,38.27595427,-85.86907973
224,A,47.37945475,-122.2905885
225,A,33.67133096,-86.70304214
226,D,42.2979892,-71.7979248
227,B,39.9876669,-75.3107521
228,D,41.81314139,-72.12190451
229,A,40.06498394,-75.64808556
230,A,42.5337755,-73.141277
231,A,45.02193699,-71.37613975
232,B,34.35892693,-117.3634751
233,C,40.94307572,-79.49947428
234,C,45.91762382,-122.1472324
235,A,40.59734388,-74.30452012
236,A,40.79897559,-73.87020381
237,C,39.5137051,-74.3478599
238,B,43.30710489,-78.41054091
239,A,39.91290165,-74.88417135
240,D,42.22629064,-71.94003536
241,C,40.54835161,-74.58223039
242,D,43.82725287,-78.01116013
243,A,41.01521411,-73.1990481
244,C,43.08179093,-78.09562907
245,A,40.94037573,-73.51020927
246,C,41.00458189,-75.31707911
247,A,34.12693111,-117.3117308
248,C,45.02163642,-71.81342748
249,B,39.86065316,-76.21606984
250,C,40.49044426,-74.43149734
251,A,41.05839748,-75.66263942
252,A,37.05781322,-76.50406148
253,B,41.1338261,-73.3219644
254,C,42.31772499,-69.46241701
255,A,34.0042479,-117.9065631
256,B,34.43550204,-117.861638
257,B,37.53924705,-76.10630795
258,D,43.38391515,-122.3682829
259,D,39.37263977,-81.07906383
260,C,46.37240368,-118.7480443
261,B,34.91307053,-118.8008204
262,C,42.27456956,-119.755365
263,D,41.27626177,-76.15816523
264,D,36.52252942,-77.08779848
265,A,40.5817072,-75.70233531
266,B,35.43009674,-120.290268
267,C,43.59166423,-84.97565377
268,C,39.01695304,-81.20360284
269,A,41.10049613,-82.43673657
270,D,36.93324208,-87.70619852
271,A,40.19449364,-74.94215136
272,C,43.32234178,-82.52350482
273,B,45.83679371,-122.3206053
274,A,40.37136762,-78.79334448
275,D,43.92378531,-78.06656969
276,C,42.18059483,-83.34783417
277,C,42.63317594,-83.29134306
278,B,43.3931085,-74.6589725
279,C,42.85013431,-72.09085769
280,D,41.44876384,-81.56986276
281,C,41.01389053,-121.7360979
282,C,44.10742284,-72.88871716
283,A,36.36251154,-84.33308606
284,B,38.81742948,-81.57367952
285,D,47.967597,-121.7098111
286,D,37.82022818,-75.36786682
287,B,39.34760947,-81.36789353
288,D,37.27398875,-118.1762594
289,D,43.76080183,-77.91530617
290,A,33.24651541,-117.2403136
291,B,42.80313345,-75.49489055
292,D,41.09448578,-73.99160822
293,B,34.91547646,-82.95985354
294,A,42.44184497,-70.76706203
295,C,44.27494477,-69.67808723
296,C,44.45554899,-70.69878821
297,D,43.91813695,-69.89199805
298,D,48.67975918,-121.4508082
299,D,41.80483161,-72.89308179
300,C,40.69155903,-74.40257697
301,B,39.01368662,-80.36319538
302,A,40.86066982,-73.95521318
303,B,40.16512079,-74.71457621
304,A,40.91477104,-73.98717916
305,D,40.85774895,-74.31849155
306,A,40.52864926,-76.68022344
307,A,47.72277002,-122.617397
308,A,40.22412808,-74.87987292
309,D,40.81936083,-83.44316347
310,A,42.02589216,-76.16393034
311,A,39.77273615,-74.89070685
312,B,42.78483446,-82.56881554
313,B,43.35015298,-78.36343492
314,C,40.0554146,-80.5473904
315,D,43.21278744,-78.84224356
316,B,38.18799501,-82.42831849
317,A,37.97661676,-81.86259324
318,A,42.90491065,-78.68974665
319,A,40.90064017,-80.69562783
320,B,43.16628897,-78.37930769
321,D,39.61187398,-76.41982202
322,D,34.48884572,-117.0145747
323,C,41.51831137,-80.04348803
324,D,40.07959362,-80.69658298
325,A,43.83605224,-73.61215476
326,B,41.77816879,-73.42976031
327,A,40.70559546,-73.37816254
328,A,37.98221617,-122.0236424
329,C,41.33451364,-72.94022005
330,B,43.55547625,-71.01159865
331,A,34.12868603,-118.269998
332,B,43.04853692,-82.79087308
333,A,39.0686518,-76.8922842
334,A,46.66155751,-116.7440966
335,A,35.50769875,-80.76149575
336,C,41.07235081,-79.28259919
337,C,31.18329559,-87.07127031
338,A,41.08688387,-79.85233103
339,A,40.87476448,-73.74440252
340,C,41.75682131,-73.60233269
341,C,43.72532889,-82.64447447
342,C,41.43795978,-74.31431264
343,A,47.79399101,-117.432679
344,C,43.35130648,-78.20754252
345,A,42.45295568,-82.90841422
346,C,38.56388535,-121.1840101
347,C,33.49952634,-116.1168097
348,B,35.08509324,-82.55251976
349,C,38.9114992,-81.1861115
350,C,41.2172273,-73.3889387
351,D,45.77869666,-83.39605334
352,C,46.73190051,-122.3051195
353,C,44.59757318,-69.48218382
354,A,33.95989928,-118.0537095
355,B,40.37057816,-104.8624236
356,B,44.71578755,-71.37957555
357,D,41.59117714,-72.93507366
358,D,42.84175023,-79.84000747
359,C,40.01416305,-74.48066795
360,B,43.17413873,-70.75910927
361,C,43.91205947,-72.97130053
362,A,38.6778448,-81.4696486
363,C,34.77685402,-117.794335
364,D,35.25222731,-118.6657003
365,A,46.59454558,-120.5287424
366,D,41.54973744,-74.49394143
367,D,34.07439065,-86.62276835
368,B,48.20763462,-121.8641754
369,A,40.31048185,-74.76283515
370,A,37.37988652,-118.4181349
371,B,41.49741407,-80.36692133
372,C,41.19504724,-74.90433076
373,C,40.84713309,-76.29462355
374,B,37.81314183,-121.8955112
375,D,48.67618722,-115.8059268
376,A,38.99747882,-77.11792018
377,D,43.61337399,-72.78871801
378,B,43.429627,-74.891186
379,C,41.40572205,-73.28964455
380,B,43.24660231,-78.40634919
381,A,44.89069867,-68.69697033
382,C,43.11115473,-82.41640327
383,B,37.70312041,-76.96786859
384,C,41.00545276,-77.48884804
385,B,40.05148751,-75.25102449
386,A,40.99873896,-73.96409004
387,C,48.10344047,-121.5786946
388,B,41.0853564,-73.5289936
389,A,44.17647525,-72.41232575
390,A,34.41559132,-118.358519
391,B,43.42701902,-75.76978235
392,A,42.33613474,-72.61602026
393,C,40.01945255,-74.64011245
394,C,41.54840037,-73.44148763
395,C,41.64104662,-73.08143188
396,B,42.82880943,-82.68087127
397,D,42.53611445,-82.56817715
398,C,42.65151916,-78.92038517
399,B,42.11372725,-71.05535475
400,C,44.19770036,-71.75113364
401,D,44.0779809,-78.0670991
402,A,43.0809531,-78.7374419
403,D,39.23560383,-74.24307177
404,C,41.43320009,-123.5113426
405,C,40.81144695,-75.43474844
406,A,47.73010698,-122.2072477
407,B,40.93879973,-79.76944627
408,C,35.90100376,-84.85546614
409,A,37.87580231,-120.6650437
410,C,43.69792421,-75.56694769
411,B,42.1748011,-83.0842085
412,A,41.43786371,-80.94611139
413,C,44.64523916,-83.29339724
414,D,35.00934923,-117.1140515
415,D,48.98372607,-121.5541505
416,A,34.25870216,-116.8290398
417,A,41.88151345,-69.90906855
418,B,46.41848314,-117.9615936
419,A,35.73474829,-82.65043081
420,A,33.88246639,-117.3649336
421,C,45.1292889,-72.6146238
422,B,41.06878706,-73.66432202
423,A,40.11094973,-74.96579627
424,C,41.30485206,-74.74164507
425,A,43.02287805,-78.37642195
426,C,38.19539943,-85.12211057
427,C,34.24660195,-117.3067621
428,C,34.87260617,-117.9559908
429,C,43.55055477,-78.06727423
430,C,44.84984174,-68.36178726
431,B,43.1584824,-70.7518586
432,A,40.13174537,-75.11797153
433,C,41.41567585,-79.95705972
434,C,34.97635876,-117.8756782
435,D,34.91718254,-116.9603247
436,A,39.72460802,-84.04884698
437,C,38.00568536,-80.57127004
438,A,43.19062596,-70.81955904
439,B,34.57626004,-117.443583
440,B,46.99699195,-120.1222481
441,B,40.96687648,-79.58936652
442,D,46.22789173,-84.33488827
443,A,40.19624712,-74.87136258
444,A,42.60737626,-71.07275874
445,D,43.16025957,-83.51287043
446,B,39.27020116,-76.65581384
447,B,41.8566189,-75.2498191
448,C,43.3909336,-77.758248
449,A,39.92830151,-77.59545349
450,A,44.62412042,-71.02687058
451,A,40.73014337,-79.84236263
452,A,41.32306434,-72.89784222
453,C,41.41290993,-73.61357209
454,C,43.25075344,-82.55646366
455,C,39.82809411,-75.96359789
456,D,41.81999534,-78.98505776
457,C,43.66303616,-77.95346484
458,A,48.19847821,-121.9071118
459,A,40.2734238,-75.3711592
460,C,40.59559401,-74.39620239
461,B,41.03670116,-73.76889184
462,A,45.62383807,-122.3438536
463,C,41.05385827,-79.69852833
464,A,42.97945303,-70.86703407
465,A,34.41338839,-118.5004456
466,A,42.61735476,-82.80419294
467,C,39.50288878,-76.23650422
468,A,43.29353631,-86.17501369
469,C,41.99931715,-79.47043485
470,D,41.85080027,-73.27030773
471,D,42.10954747,-79.63103043
472,C,38.29599976,-76.86526224
473,A,43.08705863,-72.12585537
474,B,41.26408419,-73.55113921
475,C,45.73236261,-122.6849594
476,A,40.80778978,-73.85595222
477,D,40.78822052,-74.16046948
478,A,39.16204474,-80.59844526
479,B,44.02215563,-72.61518037
480,D,40.81496013,-74.37290287
481,C,40.02729591,-76.31985609
482,B,41.81669533,-81.74853167
483,A,39.48264558,-74.44083642
484,B,44.00398661,-71.32062839
485,C,40.63314526,-76.93225974
486,A,41.10194497,-78.35601893
487,A,40.77882724,-73.85527837
488,D,35.39769686,-82.65972314
489,B,40.79942746,-75.50879954
490,D,34.88690801,-117.429887
491,D,40.86091719,-73.85671553
492,D,42.31454373,-82.92820817
493,C,40.62428768,-120.250411
494,C,45.4315613,-72.4649907
495,C,42.88775663,-83.17544337
496,A,38.76177902,-121.2426314
497,A,39.66739585,-75.73649645
498,A,34.22404828,-116.8585307
499,C,41.05037646,-77.86239876
500,A,34.35082954,-118.1244115
501,B,42.20787116,-70.83663084
502,A,40.92859842,-75.39542198
503,B,43.2189748,-70.9693982
504,C,40.88038197,-76.19179603
505,A,40.03909751,-74.70313649
506,A,41.94614644,-71.15582956
507,C,43.8531549,-77.0729841
508,A,40.31118802,-75.73498728
509,C,43.10477432,-70.35539568
510,D,39.88812232,-77.46009268
511,B,40.32667231,-74.52358759
512,D,43.39795937,-81.94333953
513,A,39.52068938,-80.11768362
514,D,43.7139492,-83.6282178
515,A,37.61991882,-122.0651762
516,B,41.89089393,-78.26362277
517,A,34.12172292,-118.2112971
518,D,41.9620566,-80.4841774
519,B,43.11310805,-72.04446595
520,C,35.17873034,-82.37858966
521,D,41.29300345,-73.32326255
522,D,38.3025856,-77.0107694
523,C,48.45310708,-116.7191829
524,C,41.1729478,-73.7297181
525,A,40.32461073,-75.12765393
526,A,40.3783596,-79.7892034
527,C,38.06822831,-76.61663429
528,B,34.7138956,-119.4115295
529,B,41.78805296,-73.32924493
530,D,41.62718736,-72.19350064
531,C,49.25441828,-121.4820555
532,C,40.30729828,-74.52701472
533,D,43.98945506,-69.83268184
534,A,43.72465948,-84.16719052
535,B,42.470134,-78.401223
536,B,34.53545325,-117.7976017
537,D,41.76565057,-73.02068043
538,C,40.31988765,-74.40175035
539,B,41.88332879,-73.11652021
540,D,43.49618313,-71.66985887
541,A,39.45026239,-78.96814311
542,A,34.40444259,-118.2818689
543,B,40.7757474,-79.5415086
544,A,44.0861537,-71.6270812
545,A,33.84160229,-86.53420671
546,D,37.29450343,-120.2799874
547,A,44.15116487,-70.60348513
548,D,42.4351425,-72.1393945
549,A,43.20407,-78.670827
550,C,45.21354218,-72.33687182
551,C,43.4227111,-78.1540149
552,D,40.99182717,-75.51468473
553,D,42.64191571,-70.22538499
554,C,35.07249404,-118.513018
555,C,43.14741152,-74.37491848
556,B,40.88384126,-122.0215472
557,A,40.8988335,-74.3606175
558,B,40.19120001,-74.87969599
559,D,35.03483714,-117.6828357
560,C,45.13232441,-72.50504329
561,A,43.79228441,-73.47970559
562,B,44.16360203,-73.13430857
563,D,42.27289476,-81.33721824
564,C,42.55065484,-70.45947806
565,C,42.3772382,-72.2112818
566,D,42.25209377,-81.09868723
567,A,40.73891477,-79.71787823
568,A,45.64207239,-122.6982396
569,A,41.59060937,-83.57225173
570,A,33.13841363,-115.3893722
571,A,40.36677074,-74.89066826
572,A,43.6567527,-71.3400893
573,C,39.36788375,-76.98031125
574,C,46.74220443,-67.23424257
575,A,40.6358415,-74.2849974
576,C,45.23474773,-72.40664227
577,D,40.78521604,-73.54415496
578,A,45.90986174,-121.3319843
579,A,42.25621386,-71.06077514
580,B,40.68109326,-76.80399374
581,A,43.23585532,-85.45375868
582,C,48.22101694,-116.6757271
583,B,40.429341,-74.6200166
584,C,38.00453471,-76.58242929
585,C,39.98991011,-80.85321199
586,C,39.31225315,-85.38537485
587,C,40.96291801,-80.32010579
588,D,48.70564815,-121.3663246
589,B,41.18280378,-74.99687922
590,B,37.18676455,-75.69648845
591,A,44.74830165,-68.59120865
592,C,35.84518941,-117.2395076
593,B,42.02202863,-78.45994137
594,D,36.89391733,-84.87258917
595,A,40.98495681,-81.22276219
596,C,38.03819757,-119.750356
597,C,40.96738863,-78.08444137
598,D,44.38303748,-71.48481652
599,D,38.17602465,-75.87854475
600,C,41.23194169,-77.68541531
601,B,38.46314569,-78.77802751
602,C,43.64578237,-78.40302863
603,A,40.16602211,-74.00742239
604,A,42.69991758,-71.53808742
605,A,42.28913952,-72.19787258
606,A,36.96268856,-86.33553644
607,B,40.76735156,-79.54610558
608,D,40.76807166,-74.50635334
609,C,38.31075802,-76.02674018
610,C,44.04617632,-71.73688368
611,A,43.13093636,-78.70949664
612,B,36.055384,-118.8513571
613,C,41.96116652,-81.81217048
614,C,35.63369753,-81.29107489
615,C,43.75822878,-70.36392722
616,A,41.28149258,-74.88708542
617,C,44.44104133,-70.18268267
618,A,41.29849603,-80.41107997
619,D,43.23714084,-82.38716616
620,C,42.90453307,-71.82617623
621,B,37.5629171,-82.0496366
622,A,44.54623166,-69.64189734
623,C,41.43151222,-74.91685844
624,B,43.7188986,-70.1719154
625,A,41.43108289,-73.36788811
626,B,43.77464344,-70.48829456
627,C,45.10603169,-71.77956531
628,B,40.10482161,-74.70870989
629,C,41.51572839,-81.08696681
630,C,41.16168613,-73.80530387
631,D,41.74068301,-80.58468299
632,D,41.69968802,-74.19922198
633,C,41.99184743,-72.18109857
634,C,45.7654343,-122.1829714
635,B,41.09960036,-80.83804764
636,A,40.08924637,-76.97606663
637,B,43.14100615,-73.24357885
638,A,32.95725781,-115.2227713
639,A,37.39795329,-84.30521371
640,A,41.8113999,-71.2903801
641,B,41.00992585,-79.69696315
642,C,43.83343106,-76.73979494
643,B,45.22328504,-115.7676991
644,A,41.55613841,-81.47334169
645,D,43.93981275,-77.95628295
646,A,39.42417738,-75.49000562
647,A,42.82997694,-77.90143166
648,A,41.07358736,-73.17592494
649,A,41.26475925,-76.89830175
650,C,38.53488136,-121.4625943
651,C,38.59200772,-121.6177887
652,C,43.87886611,-77.97872869
653,A,39.44889245,-76.61722655
654,B,43.52867116,-74.78282884
655,C,42.53573917,-73.39175883
656,D,39.29427127,-74.40152933
657,A,40.54380678,-78.67844902
658,A,37.19690392,-75.78202658
659,D,41.40443599,-78.96567401
660,D,42.17851724,-79.87134336
661,C,42.79271397,-83.89534463
662,D,40.85137111,-74.30431889
663,A,43.31140442,-70.89012558
664,D,41.57138377,-73.08694123
665,A,40.23584675,-76.91467097
666,C,41.19534635,-79.37009365
667,B,41.1295973,-73.36669883
668,A,40.5029035,-75.5129665
669,B,34.31996718,-117.6755676
670,C,34.82394801,-118.264847
671,B,45.20247134,-84.71416776
672,B,43.30393234,-70.90578766
673,C,43.48967192,-78.10540808
674,D,41.87696039,-123.1562532
675,C,41.85505264,-74.63157936
676,B,41.11638464,-73.56084076
677,C,43.65071002,-75.66283248
678,D,41.05737113,-74.32601287
679,A,35.13615418,-80.78282482
680,B,43.41071917,-70.51132473
681,A,47.82771926,-121.7871063
682,B,40.71036605,-78.56738795
683,B,33.23847609,-116.6510159
684,C,40.46972557,-74.21837063
685,D,38.99166912,-82.62394088
686,C,41.3508429,-73.2868451
687,A,43.25611921,-75.98669129
688,A,40.19646143,-74.98595288
689,C,43.42909508,-71.40692882
690,D,37.6822187,-75.3307779
691,D,39.43824511,-120.6037219
692,D,38.97972988,-119.6553412
693,C,37.63539501,-75.18674699
694,B,39.29847243,-76.19158323
695,D,39.82259925,-75.93890875
696,A,42.76817219,-72.07584981
697,C,44.74435532,-72.46724868
698,B,41.20006403,-73.36413647
699,B,47.94592356,-122.2085993
700,C,44.00453359,-72.65523541
701,A,47.61519342,-117.3659066
702,C,44.13778944,-69.78799586
703,D,41.20861094,-74.95739376
704,C,35.52843395,-81.13276005
705,B,40.14893401,-74.72021099
706,B,42.49349032,-70.54135008
707,C,42.2460553,-69.6712933
708,A,40.97449481,-73.54740519
709,C,43.75427431,-78.39383849
710,A,42.06917691,-80.24261399
711,B,40.77674114,-79.43324486
712,A,38.21619658,-81.77839422
713,B,43.16998052,-71.03688828
714,D,41.23549048,-79.20910152
715,C,40.86701685,-75.02403338
716,C,39.56640437,-81.42723063
717,A,38.01186907,-78.62107443
718,D,39.16867976,-76.06246884
719,A,39.59444945,-76.37812555
720,D,39.30329351,-75.97085849
721,C,40.97619283,-74.80347575
722,A,40.55466672,-80.32888428
723,A,39.97938652,-80.08495448
724,D,41.66548569,-80.65655031
725,A,44.73718133,-72.87620567
726,A,35.01751691,-82.10830009
727,D,41.58827648,-75.34723352
728,B,43.47341657,-77.68520643
729,B,44.97198045,-72.71040655
730,B,37.20075512,-75.66909827
731,B,45.11734419,-85.30058646
732,C,34.11911927,-80.70246533
733,C,39.88708418,-76.00069982
734,A,35.27482971,-78.66058529
735,C,47.33120118,-119.7133088
736,B,37.9118576,-120.4714853
737,D,45.50176477,-122.3427032
738,C,41.52240753,-73.23794247
739,D,40.91411947,-74.21391153
740,C,42.7517289,-72.79517882
741,B,34.28667931,-117.8537738
742,C,43.26162551,-82.31763129
743,A,42.23999657,-71.07388543
744,B,39.82705009,-76.36924291
745,C,40.16188525,-75.66355775
746,C,36.57563839,-86.65898761
747,B,40.11647864,-75.19903536
748,B,43.30557796,-75.46179074
749,D,34.9670399,-117.4152158
750,A,37.12376887,-82.82411003
751,C,43.66024227,-82.85475873
752,A,39.27352231,-119.9917969
753,C,38.72646909,-76.19596891
754,D,40.87785715,-74.92828285
755,B,45.88233938,-122.2489396
756,D,34.71591849,-117.4249705
757,D,43.84354999,-72.78869861
758,B,40.90099291,-73.62890009
759,C,41.4435728,-73.1010471
760,D,44.66896823,-68.82221977
761,A,40.14660313,-75.00409307
762,C,39.24050343,-120.6646326
763,C,34.5737991,-117.6083886
764,C,38.55415318,-81.70830482
765,A,42.31977165,-70.85291635
766,C,39.18787881,-81.81714229
767,D,34.78070885,-117.1354357
768,A,43.86613448,-70.04760852
769,C,45.53124037,-71.61440763
770,D,38.55070588,-121.3175861
771,C,41.43842049,-73.08983951
772,C,40.58659243,-79.03249457
773,B,40.86007637,-75.65953163
774,B,43.4544799,-78.4707701
775,A,40.51551794,-79.96526746
776,C,40.6883087,-74.2240723
777,B,39.75354599,-76.21836401
778,D,43.91083288,-77.79479122
779,D,39.97355087,-75.81003923
780,D,45.38051355,-69.71347905
781,A,42.28353914,-74.90631876
782,B,34.63722034,-118.3507407
783,A,34.54270975,-118.2481002
784,B,47.85598423,-121.7591658
785,B,40.0292696,-74.6116324
786,C,41.92828544,-73.80120045
787,C,43.25444215,-70.95714085
788,C,40.89340344,-73.42174416
789,D,41.53155409,-73.74227481
790,D,38.25131365,-121.1535904
791,A,37.78439301,-83.15532499
792,D,48.34437327,-121.2295379
793,D,42.52262716,-82.36659384
794,D,40.69154411,-74.08872569
795,D,41.54313763,-73.15932167
796,C,42.67130191,-85.24991809
797,D,40.98964391,-73.99572249
798,C,44.64470516,-69.68440514
799,D,35.17111876,-117.5644116
800,B,42.18509473,-71.10383727
801,C,40.81081482,-76.15474292
802,A,42.51164667,-71.30287593
803,A,40.15360279,-75.15065521
804,C,40.97010091,-76.18041019
805,B,42.6496225,-122.4488525
806,B,33.98961084,-117.6120062
807,A,45.14792018,-122.7746348
808,B,40.86935453,-74.00093447
809,B,49.03805376,-122.16536
810,D,43.40358976,-77.60428015
811,A,34.22766706,-118.1309879
812,A,37.91866385,-120.7449618
813,D,41.55776443,-73.21918738
814,C,42.24924849,-70.29378881
815,A,40.05499908,-76.21029792
816,B,37.27194047,-75.78173633
817,C,34.48565874,-117.7028725
818,A,41.61524789,-73.48673211
819,A,40.77875437,-79.52389563
820,A,41.80868272,-74.97045008
821,C,44.1078016,-118.5384614
822,B,37.73871968,-120.0597474
823,C,43.1550111,-82.583654
