,ID,Category,Latitude,Longitude,great_circle_distance,Origin: ID,Origin: Category,Origin: Latitude,Origin: Longitude
152,179,A,40.04730648,-75.09421752,0.0,179,A,40.04730648,-75.09421752
153,180,A,41.39701011,-80.33102739,0.0,180,A,41.39701011,-80.33102739
156,186,A,40.68957983,-79.39731476,0.0,186,A,40.68957983,-79.39731476
157,187,A,40.26857714,-74.89578286,0.0,187,A,40.26857714,-74.89578286
160,191,A,40.84163368,-73.86363932,0.0,191,A,40.84163368,-73.86363932
162,193,A,44.41764719,-70.79100881,0.0,193,A,44.41764719,-70.79100881
165,196,A,42.34234549,-83.40244511,0.0,196,A,42.34234549,-83.40244511
166,197,A,40.09367731,-74.83215863,0.0,197,A,40.09367731,-74.83215863
171,203,A,48.78749886,-122.3339381,0.0,203,A,48.78749886,-122.3339381
173,207,A,34.44619526,-117.5525247,0.0,207,A,34.44619526,-117.5525247
177,211,A,38.00430317,-84.48108183,0.0,211,A,38.00430317,-84.48108183
178,212,A,43.1209875,-78.6622448,0.0,212,A,43.1209875,-78.6622448
180,214,A,40.96498563,-73.56607507,0.0,214,A,40.96498563,-73.56607507
182,216,A,34.48268787,-117.9758869,0.0,216,A,34.48268787,-117.9758869
184,218,A,41.47243595,-72.18725805,0.0,218,A,41.47243595,-72.18725805
189,223,A,38.27595427,-85.86907973,0.0,223,A,38.27595427,-85.86907973
190,224,A,47.37945475,-122.2905885,0.0,224,A,47.37945475,-122.2905885
191,225,A,33.67133096,-86.70304214,0.0,225,A,33.67133096,-86.70304214
194,229,A,40.06498394,-75.64808556,0.0,229,A,40.06498394,-75.64808556
195,230,A,42.5337755,-73.141277,0.0,230,A,42.5337755,-73.141277
196,231,A,45.02193699,-71.37613975,0.0,231,A,45.02193699,-71.37613975
199,235,A,40.59734388,-74.30452012,0.0,235,A,40.59734388,-74.30452012
200,236,A,40.79897559,-73.87020381,0.0,236,A,40.79897559,-73.87020381
202,239,A,39.91290165,-74.88417135,0.0,239,A,39.91290165,-74.88417135
206,243,A,41.01521411,-73.1990481,0.0,243,A,41.01521411,-73.1990481
208,245,A,40.94037573,-73.51020927,0.0,245,A,40.94037573,-73.51020927
210,247,A,34.12693111,-117.3117308,0.0,247,A,34.12693111,-117.3117308
213,251,A,41.05839748,-75.66263942,0.0,251,A,41.05839748,-75.66263942
214,252,A,37.05781322,-76.50406148,0.0,252,A,37.05781322,-76.50406148
216,255,A,34.0042479,-117.9065631,0.0,255,A,34.0042479,-117.9065631
223,265,A,40.5817072,-75.70233531,0.0,265,A,40.5817072,-75.70233531
226,269,A,41.10049613,-82.43673657,0.0,269,A,41.10049613,-82.43673657
228,271,A,40.19449364,-74.94215136,0.0,271,A,40.19449364,-74.94215136
230,274,A,40.37136762,-78.79334448,0.0,274,A,40.37136762,-78.79334448
238,283,A,36.36251154,-84.33308606,0.0,283,A,36.36251154,-84.33308606
243,290,A,33.24651541,-117.2403136,0.0,290,A,33.24651541,-117.2403136
245,294,A,42.44184497,-70.76706203,0.0,294,A,42.44184497,-70.76706203
252,302,A,40.86066982,-73.95521318,0.0,302,A,40.86066982,-73.95521318
253,304,A,40.91477104,-73.98717916,0.0,304,A,40.91477104,-73.98717916
255,306,A,40.52864926,-76.68022344,0.0,306,A,40.52864926,-76.68022344
256,307,A,47.72277002,-122.617397,0.0,307,A,47.72277002,-122.617397
257,308,A,40.22412808,-74.87987292,0.0,308,A,40.22412808,-74.87987292
259,310,A,42.02589216,-76.16393034,0.0,310,A,42.02589216,-76.16393034
260,311,A,39.77273615,-74.89070685,0.0,311,A,39.77273615,-74.89070685
263,317,A,37.97661676,-81.86259324,0.0,317,A,37.97661676,-81.86259324
264,318,A,42.90491065,-78.68974665,0.0,318,A,42.90491065,-78.68974665
265,319,A,40.90064017,-80.69562783,0.0,319,A,40.90064017,-80.69562783
270,325,A,43.83605224,-73.61215476,0.0,325,A,43.83605224,-73.61215476
271,327,A,40.70559546,-73.37816254,0.0,327,A,40.70559546,-73.37816254
272,328,A,37.98221617,-122.0236424,0.0,328,A,37.98221617,-122.0236424
274,331,A,34.12868603,-118.269998,0.0,331,A,34.12868603,-118.269998
275,333,A,39.0686518,-76.8922842,0.0,333,A,39.0686518,-76.8922842
276,334,A,46.66155751,-116.7440966,0.0,334,A,46.66155751,-116.7440966
277,335,A,35.50769875,-80.76149575,0.0,335,A,35.50769875,-80.76149575
280,338,A,41.08688387,-79.85233103,0.0,338,A,41.08688387,-79.85233103
281,339,A,40.87476448,-73.74440252,0.0,339,A,40.87476448,-73.74440252
285,343,A,47.79399101,-117.432679,0.0,343,A,47.79399101,-117.432679
287,345,A,42.45295568,-82.90841422,0.0,345,A,42.45295568,-82.90841422
295,354,A,33.95989928,-118.0537095,0.0,354,A,33.95989928,-118.0537095
300,362,A,38.6778448,-81.4696486,0.0,362,A,38.6778448,-81.4696486
303,365,A,46.59454558,-120.5287424,0.0,365,A,46.59454558,-120.5287424
306,369,A,40.31048185,-74.76283515,0.0,369,A,40.31048185,-74.76283515
307,370,A,37.37988652,-118.4181349,0.0,370,A,37.37988652,-118.4181349
311,376,A,38.99747882,-77.11792018,0.0,376,A,38.99747882,-77.11792018
314,381,A,44.89069867,-68.69697033,0.0,381,A,44.89069867,-68.69697033
317,386,A,40.99873896,-73.96409004,0.0,386,A,40.99873896,-73.96409004
319,389,A,44.17647525,-72.41232575,0.0,389,A,44.17647525,-72.41232575
320,390,A,34.41559132,-118.358519,0.0,390,A,34.41559132,-118.358519
321,392,A,42.33613474,-72.61602026,0.0,392,A,42.33613474,-72.61602026
329,402,A,43.0809531,-78.7374419,0.0,402,A,43.0809531,-78.7374419
333,406,A,47.73010698,-122.2072477,0.0,406,A,47.73010698,-122.2072477
335,409,A,37.87580231,-120.6650437,0.0,409,A,37.87580231,-120.6650437
337,412,A,41.43786371,-80.94611139,0.0,412,A,41.43786371,-80.94611139
341,416,A,34.25870216,-116.8290398,0.0,416,A,34.25870216,-116.8290398
342,417,A,41.88151345,-69.90906855,0.0,417,A,41.88151345,-69.90906855
343,419,A,35.73474829,-82.65043081,0.0,419,A,35.73474829,-82.65043081
344,420,A,33.88246639,-117.3649336,0.0,420,A,33.88246639,-117.3649336
346,423,A,40.11094973,-74.96579627,0.0,423,A,40.11094973,-74.96579627
348,425,A,43.02287805,-78.37642195,0.0,425,A,43.02287805,-78.37642195
354,432,A,40.13174537,-75.11797153,0.0,432,A,40.13174537,-75.11797153
358,436,A,39.72460802,-84.04884698,0.0,436,A,39.72460802,-84.04884698
360,438,A,43.19062596,-70.81955904,0.0,438,A,43.19062596,-70.81955904
362,443,A,40.19624712,-74.87136258,0.0,443,A,40.19624712,-74.87136258
363,444,A,42.60737626,-71.07275874,0.0,444,A,42.60737626,-71.07275874
366,449,A,39.92830151,-77.59545349,0.0,449,A,39.92830151,-77.59545349
367,450,A,44.62412042,-71.02687058,0.0,450,A,44.62412042,-71.02687058
368,451,A,40.73014337,-79.84236263,0.0,451,A,40.73014337,-79.84236263
369,452,A,41.32306434,-72.89784222,0.0,452,A,41.32306434,-72.89784222
375,458,A,48.19847821,-121.9071118,0.0,458,A,48.19847821,-121.9071118
376,459,A,40.2734238,-75.3711592,0.0,459,A,40.2734238,-75.3711592
378,462,A,45.62383807,-122.3438536,0.0,462,A,45.62383807,-122.3438536
380,464,A,42.97945303,-70.86703407,0.0,464,A,42.97945303,-70.86703407
381,465,A,34.41338839,-118.5004456,0.0,465,A,34.41338839,-118.5004456
382,466,A,42.61735476,-82.80419294,0.0,466,A,42.61735476,-82.80419294
384,468,A,43.29353631,-86.17501369,0.0,468,A,43.29353631,-86.17501369
389,473,A,43.08705863,-72.12585537,0.0,473,A,43.08705863,-72.12585537
391,476,A,40.80778978,-73.85595222,0.0,476,A,40.80778978,-73.85595222
393,478,A,39.16204474,-80.59844526,0.0,478,A,39.16204474,-80.59844526
396,483,A,39.48264558,-74.44083642,0.0,483,A,39.48264558,-74.44083642
398,486,A,41.10194497,-78.35601893,0.0,486,A,41.10194497,-78.35601893
399,487,A,40.77882724,-73.85527837,0.0,487,A,40.77882724,-73.85527837
407,496,A,38.76177902,-121.2426314,0.0,496,A,38.76177902,-121.2426314
408,497,A,39.66739585,-75.73649645,0.0,497,A,39.66739585,-75.73649645
409,498,A,34.22404828,-116.8585307,0.0,498,A,34.22404828,-116.8585307
411,500,A,34.35082954,-118.1244115,0.0,500,A,34.35082954,-118.1244115
412,502,A,40.92859842,-75.39542198,0.0,502,A,40.92859842,-75.39542198
414,505,A,40.03909751,-74.70313649,0.0,505,A,40.03909751,-74.70313649
415,506,A,41.94614644,-71.15582956,0.0,506,A,41.94614644,-71.15582956
417,508,A,40.31118802,-75.73498728,0.0,508,A,40.31118802,-75.73498728
421,513,A,39.52068938,-80.11768362,0.0,513,A,39.52068938,-80.11768362
423,515,A,37.61991882,-122.0651762,0.0,515,A,37.61991882,-122.0651762
424,517,A,34.12172292,-118.2112971,0.0,517,A,34.12172292,-118.2112971
431,525,A,40.32461073,-75.12765393,0.0,525,A,40.32461073,-75.12765393
432,526,A,40.3783596,-79.7892034,0.0,526,A,40.3783596,-79.7892034
438,534,A,43.72465948,-84.16719052,0.0,534,A,43.72465948,-84.16719052
442,541,A,39.45026239,-78.96814311,0.0,541,A,39.45026239,-78.96814311
443,542,A,34.40444259,-118.2818689,0.0,542,A,34.40444259,-118.2818689
444,544,A,44.0861537,-71.6270812,0.0,544,A,44.0861537,-71.6270812
445,545,A,33.84160229,-86.53420671,0.0,545,A,33.84160229,-86.53420671
447,547,A,44.15116487,-70.60348513,0.0,547,A,44.15116487,-70.60348513
449,549,A,43.20407,-78.670827,0.0,549,A,43.20407,-78.670827
456,557,A,40.8988335,-74.3606175,0.0,557,A,40.8988335,-74.3606175
459,561,A,43.79228441,-73.47970559,0.0,561,A,43.79228441,-73.47970559
464,567,A,40.73891477,-79.71787823,0.0,567,A,40.73891477,-79.71787823
465,568,A,45.64207239,-122.6982396,0.0,568,A,45.64207239,-122.6982396
466,569,A,41.59060937,-83.57225173,0.0,569,A,41.59060937,-83.57225173
467,570,A,33.13841363,-115.3893722,0.0,570,A,33.13841363,-115.3893722
468,571,A,40.36677074,-74.89066826,0.0,571,A,40.36677074,-74.89066826
469,572,A,43.6567527,-71.3400893,0.0,572,A,43.6567527,-71.3400893
472,575,A,40.6358415,-74.2849974,0.0,575,A,40.6358415,-74.2849974
475,578,A,45.90986174,-121.3319843,0.0,578,A,45.90986174,-121.3319843
476,579,A,42.25621386,-71.06077514,0.0,579,A,42.25621386,-71.06077514
477,581,A,43.23585532,-85.45375868,0.0,581,A,43.23585532,-85.45375868
484,591,A,44.74830165,-68.59120865,0.0,591,A,44.74830165,-68.59120865
487,595,A,40.98495681,-81.22276219,0.0,595,A,40.98495681,-81.22276219
494,603,A,40.16602211,-74.00742239,0.0,603,A,40.16602211,-74.00742239
495,604,A,42.69991758,-71.53808742,0.0,604,A,42.69991758,-71.53808742
496,605,A,42.28913952,-72.19787258,0.0,605,A,42.28913952,-72.19787258
497,606,A,36.96268856,-86.33553644,0.0,606,A,36.96268856,-86.33553644
501,611,A,43.13093636,-78.70949664,0.0,611,A,43.13093636,-78.70949664
505,616,A,41.28149258,-74.88708542,0.0,616,A,41.28149258,-74.88708542
507,618,A,41.29849603,-80.41107997,0.0,618,A,41.29849603,-80.41107997
510,622,A,44.54623166,-69.64189734,0.0,622,A,44.54623166,-69.64189734
512,625,A,41.43108289,-73.36788811,0.0,625,A,41.43108289,-73.36788811
520,636,A,40.08924637,-76.97606663,0.0,636,A,40.08924637,-76.97606663
521,638,A,32.95725781,-115.2227713,0.0,638,A,32.95725781,-115.2227713
522,639,A,37.39795329,-84.30521371,0.0,639,A,37.39795329,-84.30521371
523,640,A,41.8113999,-71.2903801,0.0,640,A,41.8113999,-71.2903801
525,644,A,41.55613841,-81.47334169,0.0,644,A,41.55613841,-81.47334169
527,646,A,39.42417738,-75.49000562,0.0,646,A,39.42417738,-75.49000562
528,647,A,42.82997694,-77.90143166,0.0,647,A,42.82997694,-77.90143166
529,648,A,41.07358736,-73.17592494,0.0,648,A,41.07358736,-73.17592494
530,649,A,41.26475925,-76.89830175,0.0,649,A,41.26475925,-76.89830175
534,653,A,39.44889245,-76.61722655,0.0,653,A,39.44889245,-76.61722655
537,657,A,40.54380678,-78.67844902,0.0,657,A,40.54380678,-78.67844902
538,658,A,37.19690392,-75.78202658,0.0,658,A,37.19690392,-75.78202658
543,663,A,43.31140442,-70.89012558,0.0,663,A,43.31140442,-70.89012558
545,665,A,40.23584675,-76.91467097,0.0,665,A,40.23584675,-76.91467097
547,668,A,40.5029035,-75.5129665,0.0,668,A,40.5029035,-75.5129665
554,679,A,35.13615418,-80.78282482,0.0,679,A,35.13615418,-80.78282482
555,681,A,47.82771926,-121.7871063,0.0,681,A,47.82771926,-121.7871063
559,687,A,43.25611921,-75.98669129,0.0,687,A,43.25611921,-75.98669129
560,688,A,40.19646143,-74.98595288,0.0,688,A,40.19646143,-74.98595288
567,696,A,42.76817219,-72.07584981,0.0,696,A,42.76817219,-72.07584981
570,701,A,47.61519342,-117.3659066,0.0,701,A,47.61519342,-117.3659066
575,708,A,40.97449481,-73.54740519,0.0,708,A,40.97449481,-73.54740519
577,710,A,42.06917691,-80.24261399,0.0,710,A,42.06917691,-80.24261399
578,712,A,38.21619658,-81.77839422,0.0,712,A,38.21619658,-81.77839422
582,717,A,38.01186907,-78.62107443,0.0,717,A,38.01186907,-78.62107443
584,719,A,39.59444945,-76.37812555,0.0,719,A,39.59444945,-76.37812555
587,722,A,40.55466672,-80.32888428,0.0,722,A,40.55466672,-80.32888428
588,723,A,39.97938652,-80.08495448,0.0,723,A,39.97938652,-80.08495448
590,725,A,44.73718133,-72.87620567,0.0,725,A,44.73718133,-72.87620567
591,726,A,35.01751691,-82.10830009,0.0,726,A,35.01751691,-82.10830009
595,734,A,35.27482971,-78.66058529,0.0,734,A,35.27482971,-78.66058529
602,743,A,42.23999657,-71.07388543,0.0,743,A,42.23999657,-71.07388543
606,750,A,37.12376887,-82.82411003,0.0,750,A,37.12376887,-82.82411003
608,752,A,39.27352231,-119.9917969,0.0,752,A,39.27352231,-119.9917969
615,761,A,40.14660313,-75.00409307,0.0,761,A,40.14660313,-75.00409307
619,765,A,42.31977165,-70.85291635,0.0,765,A,42.31977165,-70.85291635
622,768,A,43.86613448,-70.04760852,0.0,768,A,43.86613448,-70.04760852
627,775,A,40.51551794,-79.96526746,0.0,775,A,40.51551794,-79.96526746
632,781,A,42.28353914,-74.90631876,0.0,781,A,42.28353914,-74.90631876
633,783,A,34.54270975,-118.2481002,0.0,783,A,34.54270975,-118.2481002
639,791,A,37.78439301,-83.15532499,0.0,791,A,37.78439301,-83.15532499
649,802,A,42.51164667,-71.30287593,0.0,802,A,42.51164667,-71.30287593
650,803,A,40.15360279,-75.15065521,0.0,803,A,40.15360279,-75.15065521
652,807,A,45.14792018,-122.7746348,0.0,807,A,45.14792018,-122.7746348
654,811,A,34.22766706,-118.1309879,0.0,811,A,34.22766706,-118.1309879
655,812,A,37.91866385,-120.7449618,0.0,812,A,37.91866385,-120.7449618
658,815,A,40.05499908,-76.21029792,0.0,815,A,40.05499908,-76.21029792
660,818,A,41.61524789,-73.48673211,0.0,818,A,41.61524789,-73.48673211
661,819,A,40.77875437,-79.52389563,0.0,819,A,40.77875437,-79.52389563
662,820,A,41.80868272,-74.97045008,0.0,820,A,41.80868272,-74.97045008
665,824,A,38.54327235,-81.00049265,0.0,824,A,38.54327235,-81.00049265
666,825,A,40.48320947,-79.88152903,0.0,825,A,40.48320947,-79.88152903
669,828,A,40.09313957,-75.05549043,0.0,828,A,40.09313957,-75.05549043
671,830,A,40.92781453,-73.58326547,0.0,830,A,40.92781453,-73.58326547
672,831,A,41.7209697,-71.1924414,0.0,831,A,41.7209697,-71.1924414
680,839,A,37.85702339,-122.0308467,0.0,839,A,37.85702339,-122.0308467
682,841,A,43.88997221,-85.28293611,0.0,841,A,43.88997221,-85.28293611
688,848,A,40.08655831,-75.13610749,0.0,848,A,40.08655831,-75.13610749
689,849,A,40.08355969,-75.14121551,0.0,849,A,40.08355969,-75.14121551
692,852,A,39.62038338,-76.50304862,0.0,852,A,39.62038338,-76.50304862
693,853,A,43.0635439,-70.9431711,0.0,853,A,43.0635439,-70.9431711
694,854,A,41.00225465,-72.7593443,0.0,854,A,41.00225465,-72.7593443
695,855,A,40.72875717,-79.79255183,0.0,855,A,40.72875717,-79.79255183
699,861,A,31.3079693,-87.2015587,0.0,861,A,31.3079693,-87.2015587
702,865,A,34.4982349,-118.1362141,0.0,865,A,34.4982349,-118.1362141
703,866,A,40.03600781,-74.93472719,0.0,866,A,40.03600781,-74.93472719
706,869,A,40.12116786,-76.42301414,0.0,869,A,40.12116786,-76.42301414
708,872,A,45.76463168,-122.1499793,0.0,872,A,45.76463168,-122.1499793
711,875,A,34.26073918,-115.9609079,0.0,875,A,34.26073918,-115.9609079
714,878,A,42.44435213,-76.56793787,0.0,878,A,42.44435213,-76.56793787
729,896,A,34.53451134,-118.2101257,0.0,896,A,34.53451134,-118.2101257
730,897,A,41.19949761,-79.92367739,0.0,897,A,41.19949761,-79.92367739
731,898,A,37.06211473,-75.92557427,0.0,898,A,37.06211473,-75.92557427
732,900,A,40.3138879,-79.6662468,0.0,900,A,40.3138879,-79.6662468
736,909,A,40.73915712,-73.54957038,0.0,909,A,40.73915712,-73.54957038
737,910,A,41.48863145,-83.52683815,0.0,910,A,41.48863145,-83.52683815
742,915,A,33.74927742,-118.2828975,0.0,915,A,33.74927742,-118.2828975
745,919,A,41.56148075,-72.64185225,0.0,919,A,41.56148075,-72.64185225
746,920,A,41.4158946,-72.8716924,0.0,920,A,41.4158946,-72.8716924
748,923,A,45.61135745,-122.3578216,0.0,923,A,45.61135745,-122.3578216
756,931,A,34.12104591,-117.8130336,0.0,931,A,34.12104591,-117.8130336
760,936,A,40.01945127,-75.75043573,0.0,936,A,40.01945127,-75.75043573
762,938,A,40.60973423,-75.95113477,0.0,938,A,40.60973423,-75.95113477
764,940,A,34.02365942,-118.0537838,0.0,940,A,34.02365942,-118.0537838
766,942,A,30.01771136,-90.12976664,0.0,942,A,30.01771136,-90.12976664
769,945,A,47.41571797,-68.26019293,0.0,945,A,47.41571797,-68.26019293
770,946,A,47.67521114,-122.2123813,0.0,946,A,47.67521114,-122.2123813
771,948,A,40.57310618,-74.19926501,0.0,948,A,40.57310618,-74.19926501
772,949,A,38.61744152,-75.36992828,0.0,949,A,38.61744152,-75.36992828
774,951,A,34.29264235,-117.0276466,0.0,951,A,34.29264235,-117.0276466
776,953,A,42.14046503,-80.06816397,0.0,953,A,42.14046503,-80.06816397
777,954,A,42.42502706,-79.78411494,0.0,954,A,42.42502706,-79.78411494
781,958,A,33.20171937,-116.9747803,0.0,958,A,33.20171937,-116.9747803
782,960,A,34.00140975,-117.6417862,0.0,960,A,34.00140975,-117.6417862
783,961,A,40.26875131,-74.66225469,0.0,961,A,40.26875131,-74.66225469
785,964,A,45.04085021,-117.5602106,0.0,964,A,45.04085021,-117.5602106
787,967,A,38.84039801,-120.8552303,0.0,967,A,38.84039801,-120.8552303
790,971,A,45.05141651,-122.9764015,0.0,971,A,45.05141651,-122.9764015
792,973,A,38.15758354,-122.3902069,0.0,973,A,38.15758354,-122.3902069
799,980,A,34.29304409,-118.2136715,0.0,980,A,34.29304409,-118.2136715
800,981,A,43.25371323,-76.02581327,0.0,981,A,43.25371323,-76.02581327
803,984,A,44.47972029,-84.54919731,0.0,984,A,44.47972029,-84.54919731
810,993,A,32.58844365,-90.62317905,0.0,993,A,32.58844365,-90.62317905
813,997,A,41.18827708,-121.3533262,0.0,997,A,41.18827708,-121.3533262
814,999,A,40.45840843,-79.94504957,0.0,999,A,40.45840843,-79.94504957
815,1000,A,39.32991389,-76.44093011,0.0,1000,A,39.32991389,-76.44093011
818,1003,A,40.02154514,-75.07454486,0.0,1003,A,40.02154514,-75.07454486
822,1008,A,33.72898031,-117.3321793,0.0,1008,A,33.72898031,-117.3321793
824,1010,A,42.22123486,-83.16813644,0.0,1010,A,42.22123486,-83.16813644
825,1013,A,40.9608844,-73.7986976,0.0,1013,A,40.9608844,-73.7986976
826,1018,A,40.62299701,-75.75289219,0.0,1018,A,40.62299701,-75.75289219
827,1019,A,42.65351415,-82.76372585,0.0,1019,A,42.65351415,-82.76372585
828,1022,A,42.69782973,-82.79961507,0.0,1022,A,42.69782973,-82.79961507
833,1027,A,41.87317145,-76.35964639,0.0,1027,A,41.87317145,-76.35964639
834,1028,A,39.31934612,-121.8878231,0.0,1028,A,39.31934612,-121.8878231
837,1031,A,47.14532144,-123.682278,0.0,1031,A,47.14532144,-123.682278
841,1035,A,34.3115184,-118.0174683,0.0,1035,A,34.3115184,-118.0174683
842,1036,A,40.97907596,-73.76452874,0.0,1036,A,40.97907596,-73.76452874
846,1041,A,40.68068034,-79.80712696,0.0,1041,A,40.68068034,-79.80712696
847,1042,A,40.45159107,-79.91899493,0.0,1042,A,40.45159107,-79.91899493
848,1043,A,41.00653683,-73.95047517,0.0,1043,A,41.00653683,-73.95047517
854,1051,A,41.24285233,-73.61917127,0.0,1051,A,41.24285233,-73.61917127
856,1053,A,34.8723117,-114.5471608,0.0,1053,A,34.8723117,-114.5471608
857,1054,A,40.76899808,-78.99923692,0.0,1054,A,40.76899808,-78.99923692
864,1063,A,40.81801548,-76.29790146,0.0,1063,A,40.81801548,-76.29790146
870,1070,A,39.98148749,-104.7840796,0.0,1070,A,39.98148749,-104.7840796
872,1072,A,38.2426958,-122.0940654,0.0,1072,A,38.2426958,-122.0940654
875,1075,A,35.13948568,-81.97726732,0.0,1075,A,35.13948568,-81.97726732
880,1081,A,33.95992441,-117.6915396,0.0,1081,A,33.95992441,-117.6915396
881,1083,A,44.56880662,-120.5631154,0.0,1083,A,44.56880662,-120.5631154
882,1084,A,44.25872535,-121.1119203,0.0,1084,A,44.25872535,-121.1119203
883,1085,A,39.01292049,-121.0224593,0.0,1085,A,39.01292049,-121.0224593
885,1087,A,39.77065358,-84.13373752,0.0,1087,A,39.77065358,-84.13373752
887,1090,A,42.61935028,-85.76016422,0.0,1090,A,42.61935028,-85.76016422
892,1096,A,43.34392054,-85.44291046,0.0,1096,A,43.34392054,-85.44291046
893,1097,A,39.97152509,-75.16284291,0.0,1097,A,39.97152509,-75.16284291
903,1113,A,38.67544506,-75.3399678,0.0,1113,A,38.67544506,-75.3399678
904,1114,A,38.47483594,-75.07248496,0.0,1114,A,38.47483594,-75.07248496
906,1117,A,34.23419298,-118.200998,0.0,1117,A,34.23419298,-118.200998
910,1123,A,40.22670983,-74.98346917,0.0,1123,A,40.22670983,-74.98346917
915,1130,A,40.19360631,-74.09985769,0.0,1130,A,40.19360631,-74.09985769
916,1131,A,39.67788319,-74.27576781,0.0,1131,A,39.67788319,-74.27576781
920,1135,A,38.34446205,-121.9207017,0.0,1135,A,38.34446205,-121.9207017
922,1137,A,33.01428819,-116.7682448,0.0,1137,A,33.01428819,-116.7682448
924,1141,A,39.96611027,-122.1625038,0.0,1141,A,39.96611027,-122.1625038
